site,type,country,bu,id,kind,name,sitename,place,location,owner,plantname
log,extinguisher,thailand,th,LOG-SCCC-MHE-004,Dry chemical,,,ออฟฟิตคลังพาเลท,คลังพาเลท ชั้น 1,คลังพาเลท,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-006,Dry chemical,,,สำนักงานขาย,office ชั้น 1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-026,Dry chemical,,,,ท่าเทียบเรือ,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-031,BF2000,,,,compresser room 1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-032,CO2,,,,"Bulk 3,4",ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-037,BF2000,,,,"Solar Rooftop, ดาดฟ้า",ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-PLOC.004,Dry chemical,,,อาคารศูนย์บริการลูกค้าชั้น 1ช่องทางเดิน,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PP2-1-009,Dry chemical,,,เสาหน้าช่องจ่ายปูนถุง 4 - 5 T1.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-011,Dry chemical,,,หน้าช่องจ่ายปูนผงใต้ Silo 12,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-2-018,CO2,,,เสาข้างสายพานหน้า PM.5 ไป WH.,Packing 2ชั้น 2,Packing,
log,extinguisher,thailand,th,LOG-PP2-2-022,Dry chemical,,,หลังเครื่องบรรจุ Bucket PM.1,Packing 2ชั้น 2,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-034,Dry chemical,,,ภายในอาคาร New Big Bag,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-049,Dry chemical,,,เสาข้างถังลม Pallettizer Line 5,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-062,Dry chemical,,,เสาหน้าช่องจ่ายปูนถุง 17 - 18 T2.,Packing 2ชั้น 1,Packing,
