site,id,country,remark,yRegister,type,driverName,kind,details,area,bu,department,status,holder
log,สฎ70-7940,thailand,,,bag,,,,,th,,,
log,อด70-4929,thailand,,,bag,,,,,th,,,
log,สบ70-9572,thailand,,,bag,,,,,th,,,
log,อย70-6434,thailand,,,bag,,,,,th,,,
log,กท79-9372,thailand,,,bag,,,,,th,,,
log,ปท71-6838,thailand,,,bag,,,,,th,,,
log,ชร70-9247,thailand,,,bag,,,,,th,,,
log,ชร70-9452,thailand,,,bag,,,,,th,,,
log,ชร71-0924,thailand,,,bag,,,,,th,,,
log,ชร71-1615,thailand,,,bag,,,,,th,,,
log,กท61-4475,thailand,,,bag,,,,,th,,,
log,อย70-4891,thailand,,,bag,,,,,th,,,
log,สห70-1380,thailand,,,bag,,,,,th,,,
log,กท64-4459,thailand,,,bag,,,,,th,,,
log,กท64-4456,thailand,,,bag,,,,,th,,,
log,นว70-8149,thailand,,,bag,,,,,th,,,
log,อย71-9757,thailand,,,bag,,,,,th,,,
log,นว70-7270,thailand,,,bag,,,,,th,,,
log,อด70-5341,thailand,,,bag,,,,,th,,,
log,สบ71-7637,thailand,,,bag,,,,,th,,,
log,สบ72-0994,thailand,,,bag,,,,,th,,,
log,สฎ70-5317,thailand,,,bag,,,,,th,,,
log,สค71-1209,thailand,,,bag,,,,,th,,,
