site,type,country,bu,id,kind,owner,place,holder,registerDate,status
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-10,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-11,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-12,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-13,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-14,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-15,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-16,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-17,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-18,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-19,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-20,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-21,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-22,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoS-23,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-01,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-02,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-03,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-04,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-05,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
